"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"140","GEG","2806","2348","794","813","845","1111","1260","1249","1094","770","967","839","904","922","964","895","860","818","812","826","790","0","0","0","0"
"141","GFK","1146","1267","1367","1403","1386","1386","1414","1372","1206","1128","1105","1023","568","938","898","964","823","818","971","882","486","0","0","0","0"
"142","GGG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","GJT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","GLH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145","GNV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","GPT","1035","1057","726","0","0","0","0","0","0","274","1093","1079","867","696","165","339","793","860","508","215","0","0","0","0","0"
"147","GRB","2916","3067","3050","3066","2742","2692","2842","3066","2751","2567","2429","2904","2324","2736","2968","2313","2834","2249","2146","1718","1256","0","0","0","0"
"148","GRI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","GRK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","GRR","3356","3487","3395","3473","3518","3949","4186","4201","4246","4250","4534","4860","4700","4648","4394","4843","4757","4283","3643","3348","2417","0","0","0","0"
"151","GSO","0","0","0","0","0","0","0","669","984","978","866","904","1272","1137","1002","949","784","1","0","0","0","0","0","0","0"
"152","GSP","1024","997","834","0","645","1083","1184","1326","1319","1287","1294","1329","1015","807","1066","1076","470","96","46","0","1","0","0","0","0"
"153","GST","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","GTF","1410","1418","1431","1291","1361","1286","1338","1344","1368","1328","1327","1242","1128","1103","1215","1255","1244","1148","687","0","0","0","0","0","0"
"155","GTR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","GUC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","GUM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
