"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"275","PHF","1070","1060","1022","1020","1119","1500","1016","0","0","0","0","0","0","0","4395","5529","6755","6115","5548","6406","6021","5685","4597","2763","2292"
"276","PHL","75422","82321","83113","89564","96101","93585","91577","94304","108829","111999","115235","121151","119686","107756","108742","121721","126429","108313","104063","100499","93210","88620","86250","78526","80996"
"277","PHX","130180","138558","137343","136403","134172","139581","157155","163323","167020","171001","177701","188928","184323","173942","169895","170209","174485","215086","211072","199408","184119","181319","188315","183056","177027"
"278","PIA","2070","1933","944","1289","1448","709","76","0","0","0","537","18","1770","1438","3758","4131","4659","4664","5417","5581","4879","3753","2811","3700","5363"
"279","PIE","267","0","0","0","0","0","0","0","0","0","0","0","0","0","2466","2325","467","0","0","0","0","34","79","0","0"
"280","PIH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1806","1855","2023","1822","1824","1659","1440","1403","1286","991","982"
"281","PIR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","5","0","0","0","0"
"282","PIT","113650","117795","117224","133995","122740","130977","126190","121299","117442","110172","101312","106238","106361","81403","65090","62629","52489","47455","49209","41800","34914","37433","32583","30991","34181"
"283","PLN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","512","264","358","370","0","15","814"
"284","PMD","0","1540","710","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","392","728","0","0","0","0","0"
"285","PNS","6996","8702","7734","8686","6532","6731","6621","6297","6366","6522","6071","5734","5231","3963","6815","7223","10902","10235","10280","9497","9583","10842","10246","9808","9707"
"286","PPG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106"
"287","PSC","1302","1084","1083","1079","1070","1329","1454","1459","1460","1456","1443","1454","1081","721","3174","4162","3543","2329","2736","2541","2907","3487","3532","2914","3431"
"288","PSE","0","61","0","0","226","65","0","0","0","0","0","0","0","0","0","0","197","578","1001","755","702","754","824","835","792"
"289","PSG","639","678","699","671","679","670","725","726","724","726","726","728","726","726","726","728","726","726","726","727","664","724","722","727","726"
"290","PSP","5809","6219","6689","5131","3143","3160","3132","3036","3479","4216","3944","4663","7716","5997","12369","12072","11071","13154","13201","11979","11314","11330","10910","11798","11439"
"291","PUB","1634","1773","1453","286","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0"
